helper: 0.0.0.0 2718  [2020-09-23, 02:02:15]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 02:03:01]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 02:05:22]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 02:12:02]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 02:12:16]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 02:12:21]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 11:20:29]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 11:20:40]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 11:49:53]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 12:00:34]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 12:41:00]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 13:39:03]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 13:39:41]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 13:43:20]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 13:54:34]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 13:54:59]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 13:55:02]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 13:55:02]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 13:55:05]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 13:55:08]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 13:56:16]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 13:56:38]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 13:57:18]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 13:58:08]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 13:58:17]
connect: 127.0.0.1 ([])  [2020-09-23, 13:58:40]
disconnect: 127.0.0.1 ([]) [transport close]  [2020-09-23, 13:58:50]
connect: 127.0.0.1 ([])  [2020-09-23, 13:58:54]
disconnect: 127.0.0.1 ([]) [transport close]  [2020-09-23, 13:58:58]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 13:58:58]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 14:05:55]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 14:05:58]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 14:05:59]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 14:06:00]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 14:06:09]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 14:06:38]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 14:11:09]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 14:13:50]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 14:13:52]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 14:13:52]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 14:13:52]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 14:13:52]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-23, 14:13:53]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 14:13:53]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 14:13:53]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 14:13:53]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 14:13:53]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport close]  [2020-09-23, 14:14:38]
connect: 127.0.0.1 ([ 'JS9' ])  [2020-09-23, 14:14:38]
disconnect: 127.0.0.1 ([ 'JS9' ]) [ping timeout]  [2020-09-23, 14:14:48]
connect: 127.0.0.1 ([ 'JS9', 'JS9' ])  [2020-09-23, 14:38:05]
disconnect: 127.0.0.1 ([ 'JS9', 'JS9' ]) [transport close]  [2020-09-23, 14:38:56]
connect: 127.0.0.1 ([ 'JS9', 'JS9' ])  [2020-09-23, 14:38:56]
exec: js9helper [[ '-i', 'error.png' ]]  [2020-09-23, 14:44:47]
exec: js9helper [[ '-i', 'Screenshot', 'from', '2020-09-07', '20-21-06.png' ]]  [2020-09-23, 14:45:08]
exec: js9helper [[ '-i', 'Screenshot', 'from', '2020-09-07', '20-19-08.png' ]]  [2020-09-23, 14:45:43]
disconnect: 127.0.0.1 ([ 'JS9', 'JS9' ]) [transport error]  [2020-09-23, 15:00:44]
disconnect: 127.0.0.1 ([ 'JS9' ]) [transport error]  [2020-09-23, 15:04:31]
connect: 127.0.0.1 ([ 'JS9', 'JS9' ])  [2020-09-23, 19:31:08]
exec: js9helper [[ '-i', 'Screenshot', 'from', '2020-05-27', '14-28-58.png' ]]  [2020-09-23, 19:31:17]
connect: 127.0.0.1 ([ 'JS9', 'JS9' ])  [2020-09-23, 19:57:20]
disconnect: 127.0.0.1 ([ 'JS9', 'JS9' ]) [transport close]  [2020-09-24, 02:57:49]
disconnect: 127.0.0.1 ([ 'JS9', 'JS9' ]) [transport close]  [2020-09-24, 02:57:50]
